kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
10797460,K00752.01,CONFIRMED,1,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793,93.59,35.8,1,5455,4.467,0.927,291.93423,48.141651,15.347
10797460,K00752.02,CONFIRMED,0.969,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,9.11,25.8,2,5455,4.467,0.927,291.93423,48.141651,15.347
10811496,K00753.01,CANDIDATE,0,19.89913995,175.850252,0.969,1.7822,10829,14.6,638,39.3,76.3,1,5853,4.544,0.868,297.00482,48.134129,15.436
10848459,K00754.01,FALSE POSITIVE,0,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395,891.96,505.6,1,5805,4.564,0.791,285.53461,48.28521,15.597
10854555,K00755.01,CONFIRMED,1,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,926.16,40.9,1,6031,4.438,1.046,288.75488,48.2262,15.509
10872983,K00756.01,CONFIRMED,1,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835,114.81,66.5,1,6046,4.486,0.972,296.28613,48.22467,15.714
10872983,K00756.02,CONFIRMED,1,4.13443512,172.97937,0.762,3.1402,686,2.77,1160,427.65,40.2,2,6046,4.486,0.972,296.28613,48.22467,15.714
10872983,K00756.03,CONFIRMED,0.992,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360,807.74,15,3,6046,4.486,0.972,296.28613,48.22467,15.714
6721123,K00114.01,FALSE POSITIVE,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342,767.22,47.7,1,6227,3.986,1.958,298.86435,42.151569,12.66
10910878,K00757.01,CONFIRMED,1,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600,30.75,161.9,1,5031,4.485,0.848,286.99948,48.37579,15.841
11446443,K00001.01,CONFIRMED,0.811,2.470613377,122.763305,0.818,1.74319,14231,13.04,1339,761.46,4304.3,1,5820,4.457,0.964,286.80847,49.316399,11.338
